Feature,Importance
V2 (440)-W :: V2 (440)-W,0.00054961396
UV9 (530)-A :: UV9 (530)-A,0.00054615096
UV14 (625)-T :: UV14 (625)-T,0.0005442849
V17 (750)-W :: V17 (750)-W,0.0005416219
UV17 (700)-W :: UV17 (700)-W,0.0005413884
V7 (530)-W :: V7 (530)-W,0.00054092024
V10 (590)-A :: V10 (590)-A,0.0005397771
V5 (500)-W :: V5 (500)-W,0.0005395886
V18 (780)-A :: V18 (780)-A,0.00053944194
YG12 (845)-A :: YG12 (845)-A,0.00053580763
V19 (810)-A :: V19 (810)-A,0.0005305478
UV19 (750)-A :: UV19 (750)-A,0.00052738155
V7 (530)-A :: V7 (530)-A,0.0005268792
UV11 (575)-H :: UV11 (575)-H,0.00052556675
UV14 (625)-W :: UV14 (625)-W,0.0005234996
UV15 (655)-A :: UV15 (655)-A,0.00052162004
V10 (590)-T :: V10 (590)-T,0.0005210989
UV9 (530)-H :: UV9 (530)-H,0.000520992
V20 (845)-W :: V20 (845)-W,0.0005184073
UV13 (605)-T :: UV13 (605)-T,0.00051692076
UV1 (375)-T :: UV1 (375)-T,0.0005151965
UV20 (780)-W :: UV20 (780)-W,0.00051197474
V12 (625)-W :: V12 (625)-W,0.0005115866
UV6 (475)-W :: UV6 (475)-W,0.0005109754
UV7 (500)-W :: UV7 (500)-W,0.0005072327
UV10 (545)-T :: UV10 (545)-T,0.00050555944
V16 (725)-W :: V16 (725)-W,0.0005019889
UV2 (390)-W :: UV2 (390)-W,0.0004964714
UV8 (515)-A :: UV8 (515)-A,0.0004959607
V8 (545)-W :: V8 (545)-W,0.0004848324
UV12 (590)-T :: UV12 (590)-T,0.00048123978
UV12 (590)-A :: UV12 (590)-A,0.00047815885
UV2 (390)-T :: UV2 (390)-T,0.00047652563
V19 (810)-W :: V19 (810)-W,0.00047589937
V19 (810)-T :: V19 (810)-T,0.0004754619
V11 (605)-A :: V11 (605)-A,0.0004735726
V18 (780)-W :: V18 (780)-W,0.0004675689
UV15 (655)-W :: UV15 (655)-W,0.0004652605
LightLoss (Imaging)-W :: LightLoss (Imaging)-W,0.00045756582
B16 (845)-W :: B16 (845)-W,0.00045550897
UV11 (575)-T :: UV11 (575)-T,0.0004532339
UV22 (845)-W :: UV22 (845)-W,0.00045145216
UV11 (575)-A :: UV11 (575)-A,0.00044893412
UV13 (605)-W :: UV13 (605)-W,0.00044750993
UV22 (845)-A :: UV22 (845)-A,0.0004466343
UV21 (810)-W :: UV21 (810)-W,0.00044652942
UV19 (750)-W :: UV19 (750)-W,0.00044617907
YG1 (575)-H :: YG1 (575)-H,0.00043946
UV12 (590)-W :: UV12 (590)-W,0.00043328328
UV8 (515)-W :: UV8 (515)-W,0.00042456485
UV10 (545)-W :: UV10 (545)-W,0.00038296107
UV11 (575)-W :: UV11 (575)-W,0.0003658865
