Feature,Importance
V17 (750)-H :: V17 (750)-H,0.0011849596447492663
UV18 (725)-H :: UV18 (725)-H,0.0011783769338621986
ImgB2 (600)-W :: ImgB2 (600)-W,0.0011354078162812981
B6 (590)-T :: B6 (590)-T,0.0011339661778408837
B5 (575)-T :: B5 (575)-T,0.001129825805813959
B7 (605)-T :: B7 (605)-T,0.0011297052573447574
V2 (440)-A :: V2 (440)-A,0.0011196863901254198
V9 (575)-H :: V9 (575)-H,0.0010971771926792826
UV7 (500)-A :: UV7 (500)-A,0.0010934047415849695
UV9 (530)-T :: UV9 (530)-T,0.0010757847278811184
YG12 (845)-H :: YG12 (845)-H,0.0010724674283357678
V5 (500)-T :: V5 (500)-T,0.0010675455687609518
V3 (460)-W :: V3 (460)-W,0.0010650001831899194
R7 (810)-W :: R7 (810)-W,0.0010554522613307332
YG11 (810)-A :: YG11 (810)-A,0.0010543169594740447
V16 (725)-H :: V16 (725)-H,0.001041990569872189
B7 (605)-W :: B7 (605)-W,0.0010407150835434608
R7 (810)-T :: R7 (810)-T,0.0010354213330739158
B8 (625)-T :: B8 (625)-T,0.0010172082639196378
B16 (845)-T :: B16 (845)-T,0.0010024245078097784
Chromomysin A3*-A :: Chromomysin A3*-A,0.000989354679187946
B6 (590)-W :: B6 (590)-W,0.000983882245355451
B5 (575)-W :: B5 (575)-W,0.0009683666753190337
R8 (845)-T :: R8 (845)-T,0.0009567026972775201
V18 (780)-T :: V18 (780)-T,0.0009410279400735762
UV20 (780)-T :: UV20 (780)-T,0.0009402308810093678
UV10 (545)-T :: UV10 (545)-T,0.0009351694143123286
B15 (810)-A :: B15 (810)-A,0.0009286361819425817
UV17 (700)-A :: UV17 (700)-A,0.0009110884120045431
B16 (845)-A :: B16 (845)-A,0.0009046918131681405
V4 (475)-W :: V4 (475)-W,0.0008932105293864372
YG1 (575)-T :: YG1 (575)-T,0.000879419790256435
R8 (845)-A :: R8 (845)-A,0.0008768195598790316
V6 (515)-T :: V6 (515)-T,0.0008755539603866031
UV13 (605)-T :: UV13 (605)-T,0.0008674289749936954
V9 (575)-T :: V9 (575)-T,0.0008612949721197796
UV14 (625)-T :: UV14 (625)-T,0.0008557048700861469
R8 (845)-W :: R8 (845)-W,0.0008550539213335244
UV21 (810)-T :: UV21 (810)-T,0.0008526415471322126
UV2 (390)-T :: UV2 (390)-T,0.000846453667257683
YG4 (625)-W :: YG4 (625)-W,0.0008451632832078952
V14 (675)-A :: V14 (675)-A,0.0008427555477621769
V19 (810)-T :: V19 (810)-T,0.0008424676740519181
V7 (530)-T :: V7 (530)-T,0.0008423623033176112
V15 (700)-A :: V15 (700)-A,0.0008372412993746353
UV6 (475)-W :: UV6 (475)-W,0.0008359217773038585
UV12 (590)-T :: UV12 (590)-T,0.0008356366026657161
V11 (605)-T :: V11 (605)-T,0.0008336262765836603
V8 (545)-T :: V8 (545)-T,0.000831193454888399
UV1 (375)-T :: UV1 (375)-T,0.0008274469692330533
V12 (625)-T :: V12 (625)-T,0.0008233815776673325
V5 (500)-A :: V5 (500)-A,0.0008083460370215388
V10 (590)-T :: V10 (590)-T,0.0008081181817441041
UV22 (845)-T :: UV22 (845)-T,0.0007935656891414544
B15 (810)-W :: B15 (810)-W,0.0007918266421373774
UV11 (575)-T :: UV11 (575)-T,0.0007914264410159514
V16 (725)-A :: V16 (725)-A,0.0007863919635753394
UV8 (515)-A :: UV8 (515)-A,0.0007855178719194364
UV16 (675)-A :: UV16 (675)-A,0.0007853012493562322
UV2 (390)-H :: UV2 (390)-H,0.00078071737843299
V9 (575)-A :: V9 (575)-A,0.0007751494627636046
V20 (845)-T :: V20 (845)-T,0.0007722727728447964
V6 (515)-A :: V6 (515)-A,0.0007468729590216344
V17 (750)-A :: V17 (750)-A,0.0007463199190545955
YG12 (845)-A :: YG12 (845)-A,0.000744770546741178
V1 (420)-W :: V1 (420)-W,0.0007443938608215679
V7 (530)-A :: V7 (530)-A,0.0007405477387845901
V13 (655)-A :: V13 (655)-A,0.0007318458159275103
V11 (605)-A :: V11 (605)-A,0.0007215762787473255
V8 (545)-A :: V8 (545)-A,0.0007173103129602444
UV7 (500)-W :: UV7 (500)-W,0.0007161415069030894
UV19 (750)-A :: UV19 (750)-A,0.0007161385765919123
V15 (700)-W :: V15 (700)-W,0.0007151704397356896
UV9 (530)-A :: UV9 (530)-A,0.0007143466404367737
V14 (675)-W :: V14 (675)-W,0.0007137175355867925
